-------------------------START--------------------------23:28:41,742 asyncio DEBUG Using proactor: IocpProactor
23:28:41,785 aiogram.dispatcher INFO Start polling
23:28:41,965 aiogram.dispatcher INFO Run polling for bot @ehhererbot id=7169283346 - '12312312312312'
23:28:41,992 aiogram.dispatcher INFO Polling stopped
23:28:41,993 aiogram.dispatcher INFO Polling stopped for bot @ehhererbot id=7169283346 - '12312312312312'
23:30:35,154 asyncio DEBUG Using proactor: IocpProactor
23:30:35,194 aiogram.dispatcher INFO Start polling
23:30:35,373 aiogram.dispatcher INFO Run polling for bot @ehhererbot id=7169283346 - '12312312312312'
23:30:35,384 aiogram.dispatcher INFO Polling stopped
23:30:35,384 aiogram.dispatcher INFO Polling stopped for bot @ehhererbot id=7169283346 - '12312312312312'
23:31:01,734 asyncio DEBUG Using proactor: IocpProactor
23:31:01,769 aiogram.dispatcher INFO Start polling
23:31:01,944 aiogram.dispatcher INFO Run polling for bot @ehhererbot id=7169283346 - '12312312312312'
23:31:02,141 aiogram.dispatcher INFO Polling stopped
23:31:02,141 aiogram.dispatcher INFO Polling stopped for bot @ehhererbot id=7169283346 - '12312312312312'
23:31:19,696 asyncio DEBUG Using proactor: IocpProactor
23:31:19,729 aiogram.dispatcher INFO Start polling
23:31:22,29 aiogram.dispatcher INFO Run polling for bot @ehhererbot id=7169283346 - '12312312312312'
23:32:02,863 root INFO Test [75357851, 'Щербина'] found in subject math.
23:32:02,863 root INFO Broadcast Subject: math
Id: 75357851
Url: https://math-ege.sdamgia.ru/test?id=75357851
Target: Щербина.
23:32:55,876 aiogram.dispatcher ERROR Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientOSError: [WinError 121] Превышен таймаут семафора
23:32:55,876 aiogram.dispatcher WARNING Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 7169283346)
23:33:06,952 aiogram.dispatcher INFO Connection established (tryings = 1, bot id = 7169283346)
23:33:44,943 aiogram.dispatcher ERROR Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientOSError: [WinError 1236] Подключение к сети было разорвано локальной системой
23:33:44,944 aiogram.dispatcher WARNING Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 7169283346)
23:33:49,736 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=28.
23:33:49,738 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=25.
23:33:49,760 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=38.
23:33:49,762 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=18.
23:33:49,770 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=35.
23:33:49,781 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=16.
23:33:49,782 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=42.
23:33:49,783 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=36.
23:33:49,790 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=26.
23:33:49,801 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=0.
23:33:49,802 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=47.
23:33:49,808 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=48.
23:33:49,809 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=34.
23:33:49,812 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=27.
23:33:49,815 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=32.
23:33:49,818 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=20.
23:33:49,820 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=23.
23:33:49,824 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=24.
23:33:49,833 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=44.
23:33:49,845 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=49.
23:33:49,847 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=41.
23:33:49,849 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=30.
23:33:49,866 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=21.
23:33:49,926 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=37.
23:33:49,928 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=45.
23:33:49,950 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=17.
23:33:49,952 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=46.
23:33:49,953 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=19.
23:33:49,962 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=39.
23:33:50,1 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=31.
23:33:50,2 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=33.
23:33:50,5 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=43.
23:33:50,100 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=29.
23:33:50,117 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=40.
23:33:50,676 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=22.
23:33:50,852 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=50.
23:33:50,863 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=61.
23:33:50,865 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=97.
23:33:50,878 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=71.
23:33:50,880 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=76.
23:33:50,882 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=84.
23:33:50,884 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=74.
23:33:50,885 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=78.
23:33:50,889 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=56.
23:33:50,893 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=91.
23:33:50,895 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=92.
23:33:50,896 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=82.
23:33:50,900 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=79.
23:33:50,921 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=88.
23:33:50,925 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=59.
23:33:50,926 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=90.
23:33:50,928 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=68.
23:33:50,930 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=70.
23:33:50,931 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=96.
23:33:50,937 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=83.
23:33:50,944 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=75.
23:33:50,946 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=98.
23:33:50,947 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=54.
23:33:50,950 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=72.
23:33:50,955 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=89.
23:33:50,957 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=94.
23:33:50,959 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=57.
23:33:50,961 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=73.
23:33:50,985 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=63.
23:33:50,987 root WARNING JavaScript on page https://math-ege.sdamgia.ru/test?id=80.
